trial,variant,operation,bits,source_offset,iterations,ns,checksum,encoding
2,candidate,read_count,32,3,129055,6.61475,292137550098970,9259898799459493243
2,candidate,write_count,32,3,129055,13.5717,7873364,12531968474777650863
2,candidate,read_count,64,0,65027,4.29821,12932659232303659454,13903021642346100837
2,candidate,write_count,64,0,65027,20.494,8142099,14472678928554734552
2,candidate,read_count,64,3,65027,4.33603,12932659232303659454,17979108500666303179
2,candidate,write_count,64,3,65027,19.6976,8142102,11837154818368746539
2,candidate,byte_profile_build,64,0,85,38582.4,748425,11286371320756095183
2,candidate,byte_profile_reconstruct,64,0,87381,1414.64,11160646,11286371320756095183
2,candidate,bit_profile_build,64,0,85,60762.7,610810,10385998864525922025
2,candidate,bit_profile_reconstruct,64,0,87381,4194.92,5586176,10385998864525922025
2,candidate,byte_profile_build,1024,0,7,53601.1,62748,11996937336128258274
2,candidate,byte_profile_reconstruct,1024,0,7943,12733.8,1012034,11996937336128258274
2,candidate,bit_profile_build,1024,0,7,76214.3,51303,8959399144852600447
2,candidate,bit_profile_reconstruct,1024,0,7943,42014.4,514304,8959399144852600447
3,candidate,order_and_lcp,64,0,131072,8.27249,8339456,0
3,candidate,order_and_lcp_early,64,0,131072,3.88082,131072,0
3,candidate,copy_to_aligned,64,0,131072,2.75644,14951330,10612444265752500643
3,candidate,copy_to_shifted,64,0,131072,28.4271,18885030,16857641075921078406
3,candidate,front_order_and_lcp,64,0,131072,2.06089,999424,0
3,candidate,order_and_lcp,65,3,129055,17.0296,8388576,0
3,candidate,order_and_lcp_early,65,3,129055,3.8162,129056,0
3,candidate,copy_to_aligned,65,3,129055,5.86636,15298147,1059025378906581750
3,candidate,copy_to_shifted,65,3,129055,10.102,15909312,14652123482455320431
3,candidate,order_and_lcp,512,0,16384,10.2921,8386560,0
3,candidate,order_and_lcp_early,512,0,32768,3.67612,32768,0
3,candidate,copy_to_aligned,512,0,16384,3.29846,2040894,7487872683394423460
3,candidate,copy_to_shifted,512,0,16384,33.6508,2151827,5695700198866017487
3,candidate,front_order_and_lcp,512,0,16384,6.32733,1046528,0
3,candidate,order_and_lcp,513,3,16352,54.662,8384488,0
3,candidate,order_and_lcp_early,513,3,32768,3.69388,32768,0
3,candidate,copy_to_aligned,513,3,16352,12.8603,2033532,13549540094830414013
3,candidate,copy_to_shifted,513,3,16352,11.5837,2025212,1277971867292287276
3,candidate,order_and_lcp,32768,0,512,265.625,16777216,0
3,candidate,order_and_lcp_early,32768,0,32768,4.30807,32768,0
3,candidate,copy_to_aligned,32768,0,512,50.6191,65095,15697443229824947228
3,candidate,copy_to_shifted,32768,0,512,490.234,70873,1340222264216771497
3,candidate,front_order_and_lcp,32768,0,512,239.014,2097152,0
3,candidate,order_and_lcp,32769,3,512,2906.33,16777728,0
3,candidate,order_and_lcp_early,32769,3,32768,4.13132,32768,0
3,candidate,copy_to_aligned,32769,3,512,506.184,64572,810501865908961312
3,candidate,copy_to_shifted,32769,3,512,55.9902,64487,17401643773666152548
3,candidate,read_count,4,0,932067,4.36896,6495309,14010549057497394684
3,candidate,write_count,4,0,932067,5.48517,5250149,498868200249582186
3,candidate,read_count,4,3,932067,4.50906,6495309,10667692899381957720
3,candidate,write_count,4,3,932067,5.49066,5250152,14011927138326259588
3,candidate,read_count,32,0,129055,6.84915,292137550098970,15992147686396580461
3,candidate,write_count,32,0,129055,13.8481,7873361,17611553731688309647
3,candidate,read_count,32,3,129055,6.5024,292137550098970,9259898799459493243
3,candidate,write_count,32,3,129055,13.4316,7873364,12531968474777650863
3,candidate,read_count,64,0,65027,4.1188,12932659232303659454,13903021642346100837
3,candidate,write_count,64,0,65027,18.9908,8142099,14472678928554734552
3,candidate,read_count,64,3,65027,4.28797,12932659232303659454,17979108500666303179
3,candidate,write_count,64,3,65027,19.8552,8142102,11837154818368746539
3,candidate,byte_profile_build,64,0,85,38357.4,748425,11286371320756095183
3,candidate,byte_profile_reconstruct,64,0,87381,1432.83,11160646,11286371320756095183
3,candidate,bit_profile_build,64,0,85,63490.7,610810,10385998864525922025
3,candidate,bit_profile_reconstruct,64,0,87381,5054.81,5586176,10385998864525922025
3,candidate,byte_profile_build,1024,0,7,43482.1,62748,11996937336128258274
3,candidate,byte_profile_reconstruct,1024,0,7943,12840.4,1012034,11996937336128258274
3,candidate,bit_profile_build,1024,0,7,69261.9,51303,8959399144852600447
3,candidate,bit_profile_reconstruct,1024,0,7943,41300.2,514304,8959399144852600447
3,baseline,order_and_lcp,64,0,131072,14.6364,8339456,0
3,baseline,order_and_lcp_early,64,0,131072,2.95448,131072,0
3,baseline,copy_to_aligned,64,0,131072,2.64168,14951330,10612444265752500643
3,baseline,copy_to_shifted,64,0,131072,85.9804,18885030,16857641075921078406
3,baseline,front_order_and_lcp,64,0,131072,6.33717,999424,0
3,baseline,order_and_lcp,65,3,129055,122.149,8388576,0
3,baseline,order_and_lcp_early,65,3,129055,3.59827,129056,0
3,baseline,copy_to_aligned,65,3,129055,86.9629,15298147,1059025378906581750
3,baseline,copy_to_shifted,65,3,129055,85.8284,15909312,14652123482455320431
3,baseline,order_and_lcp,512,0,16384,70.8364,8386560,0
3,baseline,order_and_lcp_early,512,0,32768,3.04666,32768,0
3,baseline,copy_to_aligned,512,0,16384,2.64233,2040894,7487872683394423460
3,baseline,copy_to_shifted,512,0,16384,972.842,2151827,5695700198866017487
3,baseline,front_order_and_lcp,512,0,16384,40.1509,1046528,0
3,baseline,order_and_lcp,513,3,16352,986.811,8384488,0
3,baseline,order_and_lcp_early,513,3,32768,3.48663,32768,0
3,baseline,copy_to_aligned,513,3,16352,956.491,2033532,13549540094830414013
3,baseline,copy_to_shifted,513,3,16352,937.123,2025212,1277971867292287276
3,baseline,order_and_lcp,32768,0,512,4632.89,16777216,0
3,baseline,order_and_lcp_early,32768,0,32768,3.09244,32768,0
3,baseline,copy_to_aligned,32768,0,512,60.3848,65095,15697443229824947228
3,baseline,copy_to_shifted,32768,0,512,103646,70873,1340222264216771497
3,baseline,front_order_and_lcp,32768,0,512,2604.41,2097152,0
3,baseline,order_and_lcp,32769,3,512,63983.4,16777728,0
3,baseline,order_and_lcp_early,32769,3,32768,3.59726,32768,0
3,baseline,copy_to_aligned,32769,3,512,117824,64572,810501865908961312
3,baseline,copy_to_shifted,32769,3,512,106759,64487,17401643773666152548
3,baseline,read_count,4,0,932067,11.9499,6495309,14010549057497394684
3,baseline,write_count,4,0,932067,23.8031,5250149,498868200249582186
3,baseline,read_count,4,3,932067,12.3276,6495309,10667692899381957720
3,baseline,write_count,4,3,932067,24.0261,5250152,14011927138326259588
3,baseline,read_count,32,0,129055,118.896,292137550098970,15992147686396580461
3,baseline,write_count,32,0,129055,277.502,7873361,17611553731688309647
3,baseline,read_count,32,3,129055,117.97,292137550098970,9259898799459493243
3,baseline,write_count,32,3,129055,283.329,7873364,12531968474777650863
3,baseline,read_count,64,0,65027,251.572,12932659232303659454,13903021642346100837
3,baseline,write_count,64,0,65027,572.141,8142099,14472678928554734552
3,baseline,read_count,64,3,65027,247.816,12932659232303659454,17979108500666303179
3,baseline,write_count,64,3,65027,564.988,8142102,11837154818368746539
3,baseline,byte_profile_build,64,0,85,60084.3,748425,11286371320756095183
3,baseline,byte_profile_reconstruct,64,0,87381,1441.51,11160646,11286371320756095183
3,baseline,bit_profile_build,64,0,85,149250,610810,10385998864525922025
3,baseline,bit_profile_reconstruct,64,0,87381,4515.02,5586176,10385998864525922025
3,baseline,byte_profile_build,1024,0,7,207601,62748,11996937336128258274
3,baseline,byte_profile_reconstruct,1024,0,7943,12649.1,1012034,11996937336128258274
3,baseline,bit_profile_build,1024,0,7,310274,51303,8959399144852600447
