profile,records,key_bytes,access,variant,process,minimum_ns,median_ns,maximum_ns,max_min_ratio,status
typed-bit,2097152,128,random,direct32,1,9324.071,9491.282,9898.721,1.0616308048276337,diagnostic_high_variability
typed-bit,2097152,128,random,direct64,0,9688.442,9918.142,10013.48,1.0335490474113382,diagnostic_high_variability
typed-bit,2097152,128,random,direct64,1,9799.979,9912.148,9949.19,1.01522564487128,diagnostic_high_variability
typed-bit,2097152,128,random,packed,0,11671.255,12101.624,12142.672,1.0403912861127618,diagnostic_high_variability
typed-bit,2097152,128,random,packed,1,9954.156,10079.324,10082.479,1.0128913993310933,diagnostic_high_variability
typed-bit,2097152,128,random,sub32,0,9823.221,10292.811,10315.404,1.050104034104496,diagnostic_high_variability
typed-bit,2097152,128,random,sub32,1,9752.954,9970.799,10254.558,1.0514309818338117,diagnostic_high_variability
typed-bit,2097152,128,sorted,base,0,8250.355,8270.464,8271.941,1.0026163722651935,diagnostic_high_variability
typed-bit,2097152,128,sorted,base,1,8170.059,8220.145,8316.661,1.0179438116664763,diagnostic_high_variability
typed-bit,2097152,128,sorted,direct32,0,14977.732,15542.491,16807.413,1.1221600840501085,diagnostic_high_variability
typed-bit,2097152,128,sorted,direct32,1,7879.515,7888.711,7895.124,1.0019809594879887,diagnostic_high_variability
typed-bit,2097152,128,sorted,direct64,0,7810.57,7817.121,7843.351,1.0041970048280726,diagnostic_high_variability
typed-bit,2097152,128,sorted,direct64,1,7895.707,7903.813,7919.604,1.0030265814068329,diagnostic_high_variability
typed-bit,2097152,128,sorted,packed,0,7866.507,7954.794,8051.997,1.0235797158764368,diagnostic_high_variability
typed-bit,2097152,128,sorted,packed,1,7743.504,7793.669,7864.177,1.015583771894481,diagnostic_high_variability
typed-bit,2097152,128,sorted,sub32,0,8056.342,8077.125,8104.187,1.0059387995196827,diagnostic_high_variability
typed-bit,2097152,128,sorted,sub32,1,8203.875,8253.67,8280.079,1.0092887812161935,diagnostic_high_variability
typed-bit,32768,128,random,base,0,7587.929,7694.022,7705.737,1.015525711956451,retained_small_size_panel
typed-bit,32768,128,random,base,1,7560.092,7631.719,7654.029,1.0124253778922268,retained_small_size_panel
typed-bit,32768,128,random,direct32,0,7349.489,7415.902,7435.46,1.0116975479519734,retained_small_size_panel
