case,layout,value_tile_words,older,newer,canceled,output_records,payload_bytes,file_bytes,sparse_entries,cpu_ms,gpu_total_ms,gpu_device_ms,fixture_encode_ms,map_import_ms,clip_ms,repeats,cpu_min_ms,cpu_max_ms,gpu_min_ms,gpu_max_ms,cpu_forward_ms,cpu_forward_min_ms,cpu_forward_max_ms
check-0-0-0,fv,4,0,0,0,0,0,280,0,0.000709,0.44075,0.0395,0.003875,0.526958,0.316375,1,0.000709,0.000709,0.44075,0.44075,0.000375,0.000375,0.000375
check-0-33-0,fv,4,0,33,0,33,8502,9352,0,0.003667,1.19362,0.16325,0.00375,0.434,0.373084,1,0.003667,0.003667,1.19362,1.19362,0.00175,0.00175,0.00175
check-33-0-0,fv,4,33,0,0,33,7875,8728,0,0.0035,0.538792,0.162875,0.002917,0.392875,0.327042,1,0.0035,0.0035,0.538792,0.538792,0.001584,0.001584,0.001584
check-31-0-100,fv,4,31,0,31,0,0,280,0,0.000708,1.11246,0.0762083,0.005083,0.388875,0.317625,1,0.000708,0.000708,1.11246,1.11246,0.000583,0.000583,0.000583
check-257-263-0,fv,4,257,263,0,520,132073,141360,0,0.042583,0.769083,0.321958,0.021917,0.389708,0.252917,1,0.042583,0.042583,0.769083,0.769083,0.020375,0.020375,0.020375
check-513-257-50,fv,4,513,257,256,514,131816,141000,0,0.03925,0.820125,0.361875,0.023042,0.630667,0.320708,1,0.03925,0.03925,0.820125,0.820125,0.01725,0.01725,0.01725
check-513-19-90,fv,4,513,19,461,71,18766,20272,0,0.007125,1.30412,0.296083,0.017208,0.3685,0.322625,1,0.007125,0.007125,1.30412,1.30412,0.003042,0.003042,0.003042
check-31-1009-50,fv,4,31,1009,15,1025,261288,279312,0,0.081292,1.09379,0.326125,0.025458,0.379125,0.2915,1,0.081292,0.081292,1.09379,1.09379,0.027416,0.027416,0.027416
scattered-half,fv,4,4099,2057,2049,4107,1051141,1122528,0,0.356,1.10875,0.509417,0.275709,0.582666,0.30425,1,0.356,0.356,1.10875,1.10875,0.159083,0.159083,0.159083
scattered-heavy,fv,4,4099,127,3689,537,136582,146160,0,0.074792,0.807417,0.356167,0.089958,0.544792,0.286792,1,0.074792,0.074792,0.807417,0.807417,0.028917,0.028917,0.028917
sparse-exceptions,fv,4,16384,16384,0,32768,1048576,1605920,256,0.952,1.1745,0.417417,0.345541,0.606375,0.382375,1,0.952,0.952,1.1745,1.1745,0.35625,0.35625,0.35625
zero-values,fv,4,0,1025,0,1025,0,16872,0,0.027334,0.541417,0.146792,0.010584,0.479416,0.320625,1,0.027334,0.027334,0.541417,0.541417,0.008541,0.008541,0.008541
