mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
tiled,1,cutover,38,heldout,8192,1,64,25,32,0,0,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.707041,4.053291,4.498166,1.78066676017,2.283125,0.031042,1.321917,0.25125,0.2795,0.330958,14334,4293202,538728,145786120
tiled,1,cutover,38,heldout,8192,1,64,25,32,0,1,0,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.896625,4.628167,3.224708,1.73154164804,1.025208,0.0285,1.431,0.238042,0.245666,0.256042,14334,4293202,538728,145786120
tiled,1,cutover,38,heldout,8192,1,64,25,32,0,2,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.487209,3.779417,3.626958,1.48287496995,0.852583,0.031125,1.257291,0.402084,0.281167,0.802333,14334,4293202,538728,145786120
levelwise,1,cutover,38,heldout,8192,1,64,25,32,0,0,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.593209,3.956834,3.262791,1.68716663029,0.980916,0.029458,1.439125,0.271584,0.255125,0.286167,14334,4293202,538728,145786120
levelwise,1,cutover,38,heldout,8192,1,64,25,32,0,1,0,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.505209,3.814792,4.300792,1.79604161531,2.094125,0.038917,1.291375,0.240334,0.349,0.28675,14334,4293202,538728,145786120
levelwise,1,cutover,38,heldout,8192,1,64,25,32,0,2,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.568584,3.869125,4.606208,2.21108330879,1.0385,0.02975,1.55475,1.11875,0.271125,0.593,14334,4293202,538728,145786120
levelwise,2,cutover,0,train,256,1,32,50,8,0,0,1,256,256,32044,32197,4368,4392,-1,-1,321,321,0.100166,0.303291,5.528666,3.63325001672,3.635,0.01175,1.1415,0.217875,0.253875,0.268376,362,44388,5936,994633995
levelwise,2,cutover,0,train,256,1,32,50,8,0,1,0,256,256,32044,32197,4368,4392,-1,-1,321,321,0.094292,0.273333,3.93525,1.658416586,1.104333,0.016416,1.441417,0.537375,0.231791,0.603709,362,44388,5936,994633995
levelwise,2,cutover,0,train,256,1,32,50,8,0,2,1,256,256,32044,32197,4368,4392,-1,-1,321,321,0.08925,0.224458,5.035958,3.8915000041,0.76325,0.00975,3.373167,0.260875,0.258,0.370709,362,44388,5936,994633995
tiled,2,cutover,0,train,256,1,32,50,8,0,0,1,256,256,32044,32197,4368,4392,-1,-1,321,321,0.10025,0.260416,1.86475,0.766333309002,0.472666,0.014208,0.693416,0.213667,0.206875,0.263625,362,44388,5936,994633995
tiled,2,cutover,0,train,256,1,32,50,8,0,1,0,256,256,32044,32197,4368,4392,-1,-1,321,321,0.096041,0.266041,1.893875,0.790791702457,0.513042,0.014042,0.681917,0.210208,0.199917,0.274375,362,44388,5936,994633995
tiled,2,cutover,0,train,256,1,32,50,8,0,2,1,256,256,32044,32197,4368,4392,-1,-1,321,321,0.089167,0.247042,1.8715,0.928833265789,0.519,0.010542,0.70625,0.190708,0.196292,0.248542,362,44388,5936,994633995
levelwise,1,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.455042,16.828834,5.142375,1.32300000405,1.291791,0.039167,0.467291,0.266042,1.3855,1.692209,36864,140062520,17513752,2035597497
levelwise,1,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.412584,17.041959,6.122375,1.56391668133,1.238167,0.039041,1.0325,0.638792,1.341583,1.832,36864,140062520,17513752,2035597497
levelwise,1,cutover,44,heldout,32768,8,0,0,512,0,2,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.971583,16.269125,10.117917,6.4529167139,2.393792,0.037083,1.033208,0.278458,4.856125,1.518792,36864,140062520,17513752,2035597497
tiled,1,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.790167,17.442542,5.249917,1.86170829693,1.615167,0.034041,0.904959,0.273083,1.168333,1.254,36864,140062520,17513752,2035597497
