profile,distribution,records,key_bytes,access,variant,process,trials,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_min_ns,cpu_median_ns,cpu_max_ns,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
typed-bit,hash,524288,128,sorted,direct32,0,3,7520.588,7566.289,7577.592,1.0075797264788338,7475.114,7519.101,7541.654,1.0089015364849288,0.9937633891594677,0.9939533983247054,0.9952573324085013
typed-bit,hash,524288,128,sorted,direct32,1,3,7411.665,7434.66,7467.466,1.0075288076295947,7384.529,7411.645,7444.401,1.0081077615105851,0.9963387443981886,0.9969043641538416,0.9969112681597746
typed-bit,hash,524288,128,sorted,direct32,2,3,7569.837,7570.33,7599.436,1.0039101238243306,7528.096,7528.629,7557.81,1.003947080377296,0.9944211150636761,0.9945224882478122,0.9945562896532646
typed-bit,hash,524288,128,sorted,direct64,0,3,7581.25,7599.716,7605.715,1.003227040395713,7539.611,7558.389,7560.15,1.0027241458478429,0.9937775738375682,0.9945076339653751,0.9947937528191843
typed-bit,hash,524288,128,sorted,direct64,1,3,7334.418,7431.137,7435.049,1.0137203797220176,7309.327,7408.105,7413.247,1.0142174512099404,0.9965790059961132,0.9969006088839433,0.9970676723179632
typed-bit,hash,524288,128,sorted,direct64,2,3,7459.385,7465.336,7558.646,1.0133068610884142,7429.964,7439.267,7514.408,1.0113653309760318,0.994147364488296,0.9960558410646454,0.9965079937460283
typed-bit,hash,524288,128,sorted,packed,0,3,7276.859,7300.334,7592.392,1.0433611534866898,7241.738,7259.522,7542.856,1.0415809022640696,0.9934755739693103,0.9944095708497721,0.9951736044356501
typed-bit,hash,524288,128,sorted,packed,1,3,7410.255,7517.618,7535.065,1.0168428751777097,7387.63,7487.141,7511.435,1.016758419141186,0.9959459232964483,0.9968639952011032,0.9969467987268994
typed-bit,hash,524288,128,sorted,packed,2,3,7120.098,7159.036,7223.833,1.014569321939108,7096.063,7120.03,7180.565,1.0119082933733818,0.994010382022951,0.9945515010680208,0.996624344215487
typed-bit,hash,524288,128,sorted,sub32,0,3,7959.743,7962.373,7967.014,1.0009134717037975,7919.615,7923.208,7928.079,1.0010687388212685,0.9949586312020374,0.9950812402282586,0.9951129745724057
typed-bit,hash,524288,128,sorted,sub32,1,3,7918.523,7938.925,7963.576,1.005689571148559,7872.83,7892.677,7903.116,1.0038469013048674,0.9924079333204078,0.9941745261480616,0.9942296056979313
typed-bit,hash,524288,128,sorted,sub32,2,3,7436.042,7466.366,7789.323,1.0475092798023464,7408.632,7432.367,7761.035,1.0475665412993924,0.9954463791354455,0.9963138992490896,0.996368362179871
typed-byte,structured,131072,16,random,base,0,3,3451.368,3465.183,3484.474,1.0095921385375306,3437.384,3443.157,3463.081,1.0074757431814427,0.9936436257479043,0.9938604793722094,0.9959482732643984
typed-byte,structured,131072,16,random,base,1,3,3456.924,3490.113,3534.749,1.0225127888261356,3434.906,3475.224,3517.447,1.0240300607935122,0.9936307538146629,0.9951051687121208,0.9957339490154045
typed-byte,structured,131072,16,random,base,2,3,3330.809,3478.418,3483.684,1.0458972579934784,3321.386,3458.717,3465.4,1.0433596095124145,0.9943362183613356,0.9947515331470936,0.9971709575661648
typed-byte,structured,131072,16,random,direct32,0,3,2975.71,2982.899,3058.79,1.0279193873058867,2965.445,2970.377,3038.445,1.0246168787483834,0.9933486770912682,0.9958020704019814,0.996550403097076
typed-byte,structured,131072,16,random,direct32,1,3,3068.698,3074.614,3155.675,1.028343290867984,3049.648,3056.578,3139.202,1.0293653562640672,0.9937921555004762,0.9941338977835916,0.9947798806911359
typed-byte,structured,131072,16,random,direct32,2,3,3041.137,3118.176,3140.631,1.0327160532392983,3030.085,3091.969,3126.852,1.0319354077525877,0.9915954070584855,0.995612665098192,0.9963658329105199
typed-byte,structured,131072,16,random,direct64,0,3,3041.668,3094.919,3110.22,1.0225376339561056,3032.784,3078.387,3093.208,1.0199236081435408,0.9945302904617681,0.9946583416238035,0.997079234157048
typed-byte,structured,131072,16,random,direct64,1,3,3075.3,3124.547,3125.273,1.016249796767795,3058.383,3105.881,3108.133,1.0162667658040212,0.993795102059884,0.9944990732611452,0.9947467584901106
