variant,trial,case,operation,mode,round,items,ns,calls,requested,peak,live,checksum
candidate_reuse,0,byte-3-0,build,3,2,5690,1244958,0,0,0,0,1761918743
candidate_reuse,0,byte-3-0,build,0,2,5690,1230833,0,0,0,0,1761918743
candidate_reuse,0,byte-3-0,query,0,2,4096,18540875,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-3-0,build,1,2,5690,1264375,0,0,0,0,1761918743
candidate_reuse,0,byte-3-0,build,3,3,5690,1112542,0,0,0,0,1761918743
candidate_reuse,0,byte-3-0,build,0,3,5690,1235208,0,0,0,0,1761918743
candidate_reuse,0,byte-3-0,query,0,3,4096,18550292,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-3-0,build,1,3,5690,1133209,0,0,0,0,1761918743
candidate_reuse,0,byte-3-0,build,2,3,5690,1398750,0,0,0,0,1761918743
candidate_reuse,0,byte-15-0,build,1,1,2632,599875,0,0,0,0,1583706055
candidate_reuse,0,byte-15-0,build,2,1,2632,595667,0,0,0,0,1583706055
candidate_reuse,0,byte-15-0,build,3,1,2632,593792,0,0,0,0,1583706055
candidate_reuse,0,byte-15-0,build,0,1,2632,642958,0,0,0,0,1583706055
candidate_reuse,0,byte-15-0,query,0,1,4096,16352041,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-15-0,build,2,2,2632,606042,0,0,0,0,1583706055
candidate_reuse,0,byte-15-0,build,3,2,2632,589250,0,0,0,0,1583706055
candidate_reuse,0,byte-15-0,build,0,2,2632,601333,0,0,0,0,1583706055
candidate_reuse,0,byte-15-0,query,0,2,4096,16365917,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-15-0,build,1,2,2632,601042,0,0,0,0,1583706055
candidate_reuse,0,byte-15-0,build,3,3,2632,589250,0,0,0,0,1583706055
candidate_reuse,0,byte-15-0,build,0,3,2632,610333,0,0,0,0,1583706055
candidate_reuse,0,byte-15-0,query,0,3,4096,16080209,0,0,0,0,6584442294199094370
candidate_reuse,0,byte-15-0,build,1,3,2632,595375,0,0,0,0,1583706055
