records,key_bytes,distribution,query_kind,access,profile,process,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
131072,16,structured,miss,independent,typed-byte,2,3346.42,3364.777,3438.889,1.0276322159202969,1.028079753571771,0.9972687229935274,0.9977030372309196,0.9989794271656041
131072,16,structured,mixed,dependent,typed-bit,0,6830.597,6849.411,6916.397,1.0125611275266277,1.0115923349242135,0.9956420951544569,0.996595612360091,0.9976251972614872
131072,16,structured,mixed,dependent,typed-bit,1,6760.152,7041.178,7111.557,1.051981819343707,1.0522916786312062,0.9941972777850524,0.9968212253215607,0.9971148371587263
131072,16,structured,mixed,dependent,typed-bit,2,6732.488,6748.352,6972.051,1.0355831306346184,1.036038428723555,0.9976008957446204,0.9977237241269497,0.9981623771828403
131072,16,structured,mixed,dependent,typed-byte,0,3292.47,3398.097,3592.606,1.0911583097188435,1.088558423457274,0.9963104776866709,0.9969747773533245,0.998690041215258
131072,16,structured,mixed,dependent,typed-byte,1,3352.147,3389.303,3395.991,1.013079378678799,1.0125007135963493,0.9975153055470406,0.9980854061590974,0.9982607043395058
131072,16,structured,mixed,dependent,typed-byte,2,3278.488,3367.925,3400.599,1.0372461329734928,1.014920290408865,0.9763156432146218,0.97989771149892,0.9977922749755376
131072,16,structured,mixed,independent,typed-bit,0,6732.361,7060.989,7256.643,1.0778749089658146,1.0781737051716835,0.9967758057688519,0.9967763166591929,0.9970526316369704
131072,16,structured,mixed,independent,typed-bit,1,6755.814,6907.491,6986.816,1.034193066890237,1.0326481451194742,0.9957152314784051,0.9967868053201917,0.9982780757433523
131072,16,structured,mixed,independent,typed-bit,2,6823.273,6833.928,7149.19,1.0477654931878,1.0028262780780604,0.9512709831463425,0.9979674939507703,0.9985858692741738
131072,16,structured,mixed,independent,typed-byte,0,3409.582,3435.867,3507.863,1.0288249410044985,1.0289297391668046,0.9925422025939886,0.9985470359709784,0.9986487499654348
131072,16,structured,mixed,independent,typed-byte,1,3377.889,3483.383,3538.508,1.047550111919012,1.0464784565832523,0.9977103344121308,0.9987320483295928,0.9988290119116963
