mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
separate,1,cutover,38,heldout,8192,1,64,25,32,0,1,0,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.469583,3.786958,2.832209,1.51395832654,0.667042,0.027333,1.239458,0.340083,0.264834,0.293251,14334,4293202,538728,145786120
separate,1,cutover,38,heldout,8192,1,64,25,32,0,2,1,8192,8192,2478768,2479059,311184,311224,-1,-1,577,577,3.556042,3.817417,3.875167,2.25700001465,1.08525,0.027083,2.011167,0.2345,0.255,0.261958,14334,4293202,538728,145786120
separate,2,cutover,0,train,256,1,32,50,8,0,0,1,256,256,32044,32197,4368,4392,-1,-1,321,321,0.10875,0.333833,5.610375,3.23624996236,2.646583,0.015875,1.189583,0.656958,0.533125,0.567916,362,44388,5936,994633995
separate,2,cutover,0,train,256,1,32,50,8,0,1,0,256,256,32044,32197,4368,4392,-1,-1,321,321,0.107291,0.351291,5.772667,3.40745830908,1.106542,0.015166,1.101875,0.210042,1.761625,1.577167,362,44388,5936,994633995
separate,2,cutover,0,train,256,1,32,50,8,0,2,1,256,256,32044,32197,4368,4392,-1,-1,321,321,0.105542,0.313834,1.949,0.5751667195,0.873417,0.014833,0.478083,0.17625,0.162958,0.243291,362,44388,5936,994633995
fused,2,cutover,0,train,256,1,32,50,8,0,0,1,256,256,32044,32197,4368,4392,-1,-1,321,321,0.110167,0.321125,5.208666,4.07033337979,0.850041,0.021917,1.976458,1.835666,0.428542,0.095584,362,44388,5936,994633995
fused,2,cutover,0,train,256,1,32,50,8,0,1,0,256,256,32044,32197,4368,4392,-1,-1,321,321,0.120625,0.28125,2.669708,1.47533329437,0.912417,0.020125,1.005833,0.258958,0.392125,0.079833,362,44388,5936,994633995
fused,2,cutover,0,train,256,1,32,50,8,0,2,1,256,256,32044,32197,4368,4392,-1,-1,321,321,0.095875,0.276541,2.797792,1.639541646,1.103292,0.017125,1.136458,0.2355,0.23175,0.073375,362,44388,5936,994633995
separate,1,cutover,44,heldout,32768,8,0,0,512,0,0,1,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,12.603958,17.331625,6.68125,2.81987513881,2.122125,0.041583,0.758333,0.586667,1.83725,1.335041,36864,140062520,17513752,2035597497
separate,1,cutover,44,heldout,32768,8,0,0,512,0,1,0,32768,4096,124524074,15567066,15570824,1946848,-1,-1,65,65,11.364667,15.765459,8.671875,4.10466670291,1.877291,0.052834,3.158542,0.493083,1.654458,1.435126,36864,140062520,17513752,2035597497
