case,layout,distribution,older,newer,cancelled,trial,input_a_bytes,input_b_bytes,output_bytes,output_records,value_bytes,complete_ms,internal_ms,device_ms,checksum_ms,process,mode,sequence
7,ff,hash-like,65536,65536,0,2,2097408,2097408,4194560,131072,2097152,1.498208,1.015333,0.1486249966546893,0.211625,1,fixed,30
7,kv-fixed16,hash-like,65536,65536,0,-1,2275344,2275440,4534352,131072,2097152,12.091958,12.029416,1.9625417771749198,-1.0,1,kv,31
7,kv-fixed16,hash-like,65536,65536,0,0,2275344,2275440,4534352,131072,2097152,4.868709,4.80725,1.460833300370723,-1.0,1,kv,31
7,kv-fixed16,hash-like,65536,65536,0,1,2275344,2275440,4534352,131072,2097152,6.534708,6.473417,1.9843333284370601,-1.0,1,kv,31
7,kv-fixed16,hash-like,65536,65536,0,2,2275344,2275440,4534352,131072,2097152,4.717208,4.6385,1.9358749268576503,-1.0,1,kv,31
8,kv-fixed16,hash-like,262144,262144,0,-1,9035616,9035696,18005776,524288,8388608,19.290583,19.158959,5.475333367940038,-1.0,1,kv,32
8,kv-fixed16,hash-like,262144,262144,0,0,9035616,9035696,18005776,524288,8388608,12.253917,12.113916,3.788166621234268,-1.0,1,kv,32
8,kv-fixed16,hash-like,262144,262144,0,1,9035616,9035696,18005776,524288,8388608,8.367875,8.244959,2.9916250496171415,-1.0,1,kv,32
8,kv-fixed16,hash-like,262144,262144,0,2,9035616,9035696,18005776,524288,8388608,9.260083,9.1235,3.531333291903138,-1.0,1,kv,32
8,ff,hash-like,262144,262144,0,-1,8388864,8388864,16777472,524288,8388608,5.9845,4.559666,0.33354165498167276,1.020416,1,fixed,33
8,ff,hash-like,262144,262144,0,0,8388864,8388864,16777472,524288,8388608,4.262042,2.708333,0.5553750088438392,0.944041,1,fixed,33
8,ff,hash-like,262144,262144,0,1,8388864,8388864,16777472,524288,8388608,2.738166,1.361375,0.2930000191554427,0.86525,1,fixed,33
8,ff,hash-like,262144,262144,0,2,8388864,8388864,16777472,524288,8388608,4.622666,3.03375,0.44175004586577415,1.023625,1,fixed,33
9,fv,hash-like,4096,4096,0,-1,1119360,1119728,2238808,8192,2096697,2.972625,2.629916,0.34383335150778294,0.112917,1,fixed,34
9,fv,hash-like,4096,4096,0,0,1119360,1119728,2238808,8192,2096697,1.310625,0.929375,0.25562505470588803,0.131542,1,fixed,34
9,fv,hash-like,4096,4096,0,1,1119360,1119728,2238808,8192,2096697,1.514,1.117125,0.3369165933690965,0.152875,1,fixed,34
9,fv,hash-like,4096,4096,0,2,1119360,1119728,2238808,8192,2096697,2.647125,2.2985,0.3252083552069962,0.134375,1,fixed,34
9,kv-variable,hash-like,4096,4096,0,-1,1130408,1130760,2259808,8192,2096697,10.289375,10.227,1.2633333099074662,-1.0,1,kv,35
9,kv-variable,hash-like,4096,4096,0,0,1130408,1130760,2259808,8192,2096697,4.603583,4.537583,1.4567915932275355,-1.0,1,kv,35
9,kv-variable,hash-like,4096,4096,0,1,1130408,1130760,2259808,8192,2096697,3.621375,3.552875,1.3380416203290224,-1.0,1,kv,35
9,kv-variable,hash-like,4096,4096,0,2,1130408,1130760,2259808,8192,2096697,3.039333,3.001625,1.2956250575371087,-1.0,1,kv,35
10,kv-variable,hash-like,65536,65536,0,-1,18055296,18056040,36094904,131072,33554202,18.918292,18.76925,3.44566663261503,-1.0,1,kv,36
10,kv-variable,hash-like,65536,65536,0,0,18055296,18056040,36094904,131072,33554202,11.194083,11.020167,3.187208261806518,-1.0,1,kv,36
10,kv-variable,hash-like,65536,65536,0,1,18055296,18056040,36094904,131072,33554202,11.902875,11.746167,2.5419583544135094,-1.0,1,kv,36
10,kv-variable,hash-like,65536,65536,0,2,18055296,18056040,36094904,131072,33554202,13.273375,13.105,3.4832500969059765,-1.0,1,kv,36
10,fv,hash-like,65536,65536,0,-1,17911656,17912304,35823672,131072,33554202,8.01175,5.443333,1.0886666714213789,2.135167,1,fixed,37
10,fv,hash-like,65536,65536,0,0,17911656,17912304,35823672,131072,33554202,7.021791,4.039292,0.8495000656694174,2.384584,1,fixed,37
10,fv,hash-like,65536,65536,0,1,17911656,17912304,35823672,131072,33554202,6.370875,3.107084,1.4950833283364773,2.563459,1,fixed,37
